City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,tinajo,29.0788,-13.7081,22.49,53,40,8.23,ES,1719429001
269,kone,-21.0595,164.8658,17.71,88,10,1.97,NC,1719429002
270,saskatoon,52.1168,-106.6345,20.6,49,100,3.27,CA,1719428367
271,porto novo,6.4965,2.6036,25.15,85,93,2.73,BJ,1719429004
272,kavarna,43.4333,28.3333,21.6,80,0,3.14,BG,1719429004
273,mersin,36.862,34.6509,26.21,82,0,1.88,TR,1719429005
274,brokopondo,4.75,-55.1667,25.44,81,100,0.55,SR,1719429006
275,kijang,35.2442,129.2139,18.77,71,100,1.6,KR,1719429006
276,zaysan,47.4667,84.8667,22.17,40,0,4.24,KZ,1719429007
277,vanimo,-2.6741,141.3028,25.09,90,100,1.64,PG,1719429008
278,nar'yan-mar,67.6713,53.087,5.32,77,0,4.64,RU,1719429009
279,kavaratti,10.5669,72.642,27.27,85,100,10.64,IN,1719429009
280,klyuchi,52.2667,79.1667,21.73,77,0,3.71,RU,1719429011
281,ambodifotatra,-16.9833,49.85,24.1,73,8,7.06,MG,1719429012
282,namibe,-15.1961,12.1522,20.82,92,0,3.59,AO,1719429013
283,bel ombre,-4.6167,55.4167,26.57,79,100,6.46,SC,1719429014
284,zinjibar,13.1287,45.3807,32.27,60,100,2.22,YE,1719429014
285,kargasok,59.0556,80.8572,19.45,71,89,3.31,RU,1719429015
286,pecos,31.4229,-103.4932,38.46,32,0,5.14,US,1719429016
287,kadnikov,59.5022,40.338,13.85,78,45,2.08,RU,1719429017
288,kumbo,6.2,10.6667,16.69,92,100,0.83,CM,1719429017
289,goderich,43.7501,-81.7165,19.39,89,100,2.14,CA,1719428724
290,gallup,35.5281,-108.7426,30.91,29,20,1.43,US,1719429019
291,ola,59.5833,151.2833,6.98,94,100,2.98,RU,1719429020
292,bereznik,62.8551,42.7072,12.39,61,60,2.38,RU,1719429020
293,hassi messaoud,31.6804,6.0729,39.74,12,0,5.14,DZ,1719429021
294,andratx,39.5755,2.4202,26.56,45,96,2.96,ES,1719429022
295,spring creek,40.7266,-115.5859,27.39,46,0,2.24,US,1719429023
296,severo-yeniseyskiy,60.3725,93.0408,18.63,64,61,1.15,RU,1719429023
297,bardai,11.65,7.2333,28.39,58,100,3.84,NG,1719429024
298,rangapara,26.8167,92.65,25.79,88,100,2.25,IN,1719429025
299,trinity beach,-16.7888,145.6968,23.94,93,100,2.57,AU,1719429025
300,tabarka,36.9544,8.758,23.44,61,6,2.09,TN,1719429026
301,tofol,5.3248,163.0078,28.62,76,98,4.7,FM,1719429027
302,antofagasta,-23.65,-70.4,15.6,79,100,2.8,CL,1719428467
303,ostersund,63.1792,14.6357,19.25,59,91,1.54,SE,1719429029
304,kyaikkami,16.08,97.5675,25.83,90,100,3.93,MM,1719429030
305,karratha,-20.7377,116.8463,24.11,64,100,5.46,AU,1719429031
306,wagar,16.1525,36.2032,36.88,28,94,3.44,SD,1719429031
307,laguna,38.421,-121.4238,32.4,37,0,4.63,US,1719429032
308,la'ie,21.6477,-157.9253,26.98,79,3,2.24,US,1719429033
309,duba,27.3513,35.6901,33.32,38,0,2.45,SA,1719428949
310,howard springs,-12.497,131.047,22.95,88,6,1.67,AU,1719429034
311,tafi viejo,-26.732,-65.2592,16.43,36,95,1.37,AR,1719429035
312,genzano di lucania,40.8479,16.0308,21.29,78,3,2.16,IT,1719429036
313,arraial do cabo,-22.9661,-42.0278,26.92,69,0,6.69,BR,1719428874
314,mikuni,36.2171,136.1519,18.56,82,100,1.87,JP,1719429038
315,chone,-0.6833,-80.1,28.38,65,90,3.08,EC,1719429039
316,linares,-35.85,-71.6,9.52,73,99,1.46,CL,1719429039
317,hami,42.8,93.45,31.34,22,100,1.36,CN,1719429040
318,zhezqazghan,47.7833,67.7667,25.19,34,12,4.76,KZ,1719429041
319,quinto di treviso,45.6481,12.1667,22.79,79,20,1.03,IT,1719429042
320,hithadhoo,-0.6,73.0833,28.5,70,100,1.6,MV,1719429042
321,puerto armuelles,8.2833,-82.8667,27.99,71,100,0.45,PA,1719429043
322,chui,-33.6971,-53.4616,8.22,76,99,4.62,UY,1719429044
323,ilhabela,-23.7781,-45.3581,24.88,78,32,1.64,BR,1719429044
324,beau vallon,-20.4189,57.6953,22.13,73,40,5.66,MU,1719429045
325,crane,31.3974,-102.3501,37.16,30,0,6.54,US,1719429046
326,oum hadjer,13.2954,19.6966,35.99,27,7,2.5,TD,1719429046
327,geraldton,-28.7667,114.6,13.23,94,20,3.09,AU,1719429047
328,enoch,37.7733,-113.0244,32.49,34,0,4.63,US,1719429048
329,usogorsk,63.4106,48.6872,9.47,88,100,3.23,RU,1719429049
330,kristiansund,63.1115,7.732,19.03,68,0,2.06,NO,1719429049
331,new plymouth,-39.0667,174.0833,11.0,100,21,5.26,NZ,1719428965
332,kochubey,44.3861,46.5825,18.82,67,43,7.88,RU,1719429051
333,sambava,-14.2667,50.1667,22.8,83,14,6.37,MG,1719429052
334,farsan,32.2569,50.561,20.02,23,25,3.71,IR,1719429052
335,ponta delgada,37.7333,-25.6667,21.4,64,20,4.12,PT,1719429053
336,kailua-kona,19.6406,-155.9956,28.49,77,20,3.09,US,1719429054
337,ciudad hidalgo,19.6833,-100.5667,23.61,62,91,2.05,MX,1719428880
338,kangasniemi,61.9936,26.6479,21.01,54,7,2.23,FI,1719429055
339,alice springs,-23.7,133.8833,3.75,87,0,2.57,AU,1719429056
340,akkus,40.7931,37.0164,9.63,97,15,1.25,TR,1719429058
341,linxia chengguanzhen,35.6003,103.2064,14.76,66,100,1.45,CN,1719429058
342,touros,-5.1989,-35.4608,27.08,71,0,5.95,BR,1719429059
343,beitbridge,-22.2167,30.0,15.49,77,0,3.91,ZW,1719429060
344,coquimbo,-29.9533,-71.3436,17.85,51,0,2.57,CL,1719428410
345,huntsville,34.7304,-86.5861,36.62,41,0,3.09,US,1719428596
346,sao felix do xingu,-6.6447,-51.995,34.86,28,1,1.97,BR,1719429062
347,ericeira,38.9627,-9.4156,21.11,82,33,5.03,PT,1719429063
348,el kala,36.8956,8.4433,22.75,69,6,3.36,DZ,1719429064
349,nova vicosa,-17.8919,-39.3719,26.06,64,0,4.67,BR,1719429065
350,yerofey pavlovich,53.9667,121.9667,14.39,76,56,0.85,RU,1719429065
351,ulaangom,49.9811,92.0667,19.58,56,100,1.14,MN,1719429066
352,kudahuvadhoo,2.6708,72.8944,29.09,74,100,5.01,MV,1719429067
353,al qusayr,34.5091,36.5798,25.68,57,0,1.3,SY,1719429067
354,kawardha,22.0167,81.25,26.7,80,100,1.05,IN,1719428769
355,ambato boeny,-16.4667,46.7167,23.42,53,3,4.48,MG,1719429031
356,kurunegala,7.4863,80.3623,24.09,93,100,3.01,LK,1719429070
357,az zawr,29.4425,48.2747,40.01,41,0,5.84,KW,1719429070
358,bubaque,11.2833,-15.8333,27.07,83,100,6.64,GW,1719429071
359,longonjo,-12.9067,15.2533,16.82,34,51,2.01,AO,1719429072
360,auki,-8.7676,160.7034,25.4,86,100,1.82,SB,1719429072
361,kerugoya,-0.4989,37.2803,17.5,62,96,1.59,KE,1719428830
362,suwayr,30.1171,40.3893,34.52,9,0,4.91,SA,1719429074
363,floro,61.5996,5.0328,22.04,63,0,3.6,NO,1719429075
